case:concept:name,concept:name,time:timestamp,event_nr,label
1,start,2024-01-31 00:12:00,1,1
1,L,2024-01-31 00:32:00,2,1
1,A,2024-01-31 00:51:00,3,1
1,H,2024-01-31 01:36:00,4,1
1,E,2024-01-31 01:54:00,5,1
1,M,2024-01-31 02:44:00,6,1
1,R,2024-01-31 03:40:00,7,1
1,Q,2024-01-31 04:09:00,8,1
1,M,2024-01-31 05:05:00,9,1
1,F,2024-01-31 05:08:00,10,1
1,T,2024-01-31 05:37:00,11,1
1,D,2024-01-31 05:44:00,12,1
1,G,2024-01-31 06:06:00,13,1
1,T,2024-01-31 06:55:00,14,1
1,M,2024-01-31 07:28:00,15,1
1,L,2024-01-31 07:42:00,16,1
1,I,2024-01-31 08:10:00,17,1
1,K,2024-01-31 08:46:00,18,1
1,end,2024-01-31 09:19:00,19,1
101,start,2024-01-31 00:12:00,1,1
101,L,2024-01-31 00:32:00,2,1
101,A,2024-01-31 00:51:00,3,1
101,H,2024-01-31 01:36:00,4,1
101,E,2024-01-31 01:54:00,5,1
101,M,2024-01-31 02:44:00,6,1
101,R,2024-01-31 03:40:00,7,1
101,Q,2024-01-31 04:09:00,8,1
101,M,2024-01-31 05:05:00,9,1
101,F,2024-01-31 05:08:00,10,1
101,T,2024-01-31 05:37:00,11,1
101,D,2024-01-31 05:44:00,12,1
101,G,2024-01-31 06:06:00,13,1
101,T,2024-01-31 06:55:00,14,1
101,M,2024-01-31 07:28:00,15,1
101,L,2024-01-31 07:42:00,16,1
101,I,2024-01-31 08:10:00,17,1
101,K,2024-01-31 08:46:00,18,1
101,end,2024-01-31 09:19:00,19,1
201,start,2024-01-31 00:12:00,1,1
201,L,2024-01-31 00:32:00,2,1
201,A,2024-01-31 00:51:00,3,1
201,H,2024-01-31 01:36:00,4,1
201,E,2024-01-31 01:54:00,5,1
201,M,2024-01-31 02:44:00,6,1
201,R,2024-01-31 03:40:00,7,1
201,Q,2024-01-31 04:09:00,8,1
201,M,2024-01-31 05:05:00,9,1
201,F,2024-01-31 05:08:00,10,1
201,T,2024-01-31 05:37:00,11,1
201,D,2024-01-31 05:44:00,12,1
201,G,2024-01-31 06:06:00,13,1
201,T,2024-01-31 06:55:00,14,1
201,M,2024-01-31 07:28:00,15,1
201,L,2024-01-31 07:42:00,16,1
201,I,2024-01-31 08:10:00,17,1
201,K,2024-01-31 08:46:00,18,1
201,end,2024-01-31 09:19:00,19,1
301,start,2024-01-31 00:12:00,1,1
301,L,2024-01-31 00:32:00,2,1
301,A,2024-01-31 00:51:00,3,1
301,H,2024-01-31 01:36:00,4,1
301,E,2024-01-31 01:54:00,5,1
301,M,2024-01-31 02:44:00,6,1
301,R,2024-01-31 03:40:00,7,1
301,Q,2024-01-31 04:09:00,8,1
301,M,2024-01-31 05:05:00,9,1
301,F,2024-01-31 05:08:00,10,1
301,T,2024-01-31 05:37:00,11,1
301,D,2024-01-31 05:44:00,12,1
301,G,2024-01-31 06:06:00,13,1
301,T,2024-01-31 06:55:00,14,1
301,M,2024-01-31 07:28:00,15,1
301,L,2024-01-31 07:42:00,16,1
301,I,2024-01-31 08:10:00,17,1
301,K,2024-01-31 08:46:00,18,1
301,end,2024-01-31 09:19:00,19,1
401,start,2024-01-31 00:12:00,1,1
401,L,2024-01-31 00:32:00,2,1
401,A,2024-01-31 00:51:00,3,1
401,H,2024-01-31 01:36:00,4,1
401,E,2024-01-31 01:54:00,5,1
401,M,2024-01-31 02:44:00,6,1
401,R,2024-01-31 03:40:00,7,1
401,Q,2024-01-31 04:09:00,8,1
401,M,2024-01-31 05:05:00,9,1
401,F,2024-01-31 05:08:00,10,1
401,T,2024-01-31 05:37:00,11,1
401,D,2024-01-31 05:44:00,12,1
401,G,2024-01-31 06:06:00,13,1
401,T,2024-01-31 06:55:00,14,1
401,M,2024-01-31 07:28:00,15,1
401,L,2024-01-31 07:42:00,16,1
401,I,2024-01-31 08:10:00,17,1
401,K,2024-01-31 08:46:00,18,1
401,end,2024-01-31 09:19:00,19,1
2,start,2024-01-31 00:08:00,1,1
2,M,2024-01-31 00:25:00,2,1
2,A,2024-01-31 01:01:00,3,1
2,S,2024-01-31 01:03:00,4,1
2,D,2024-01-31 01:05:00,5,1
2,J,2024-01-31 01:52:00,6,1
2,T,2024-01-31 02:01:00,7,1
2,E,2024-01-31 02:26:00,8,1
2,O,2024-01-31 03:13:00,9,1
2,M,2024-01-31 03:22:00,10,1
2,O,2024-01-31 03:43:00,11,1
2,F,2024-01-31 04:36:00,12,1
2,J,2024-01-31 05:00:00,13,1
2,U,2024-01-31 05:19:00,14,1
2,end,2024-01-31 05:56:00,15,1
102,start,2024-01-31 00:08:00,1,1
102,M,2024-01-31 00:25:00,2,1
102,A,2024-01-31 01:01:00,3,1
102,S,2024-01-31 01:03:00,4,1
102,D,2024-01-31 01:05:00,5,1
102,J,2024-01-31 01:52:00,6,1
102,T,2024-01-31 02:01:00,7,1
102,E,2024-01-31 02:26:00,8,1
102,O,2024-01-31 03:13:00,9,1
102,M,2024-01-31 03:22:00,10,1
102,O,2024-01-31 03:43:00,11,1
102,F,2024-01-31 04:36:00,12,1
102,J,2024-01-31 05:00:00,13,1
102,U,2024-01-31 05:19:00,14,1
102,end,2024-01-31 05:56:00,15,1
202,start,2024-01-31 00:08:00,1,1
202,M,2024-01-31 00:25:00,2,1
202,A,2024-01-31 01:01:00,3,1
202,S,2024-01-31 01:03:00,4,1
202,D,2024-01-31 01:05:00,5,1
202,J,2024-01-31 01:52:00,6,1
202,T,2024-01-31 02:01:00,7,1
202,E,2024-01-31 02:26:00,8,1
202,O,2024-01-31 03:13:00,9,1
202,M,2024-01-31 03:22:00,10,1
202,O,2024-01-31 03:43:00,11,1
202,F,2024-01-31 04:36:00,12,1
202,J,2024-01-31 05:00:00,13,1
202,U,2024-01-31 05:19:00,14,1
202,end,2024-01-31 05:56:00,15,1
302,start,2024-01-31 00:08:00,1,1
302,M,2024-01-31 00:25:00,2,1
302,A,2024-01-31 01:01:00,3,1
302,S,2024-01-31 01:03:00,4,1
302,D,2024-01-31 01:05:00,5,1
302,J,2024-01-31 01:52:00,6,1
