case:concept:name,concept:name,time:timestamp,event_nr,label
1,start,2024-01-31 00:14:00,1,1
1,B,2024-01-31 01:08:00,2,1
1,U,2024-01-31 01:52:00,3,1
1,B,2024-01-31 02:30:00,4,1
1,S,2024-01-31 02:39:00,5,1
1,H,2024-01-31 02:58:00,6,1
1,S,2024-01-31 03:55:00,7,1
1,S,2024-01-31 04:01:00,8,1
1,S,2024-01-31 04:23:00,9,1
1,A,2024-01-31 05:18:00,10,1
1,M,2024-01-31 05:53:00,11,1
1,U,2024-01-31 06:26:00,12,1
1,E,2024-01-31 06:43:00,13,1
1,N,2024-01-31 06:55:00,14,1
1,D,2024-01-31 07:02:00,15,1
1,N,2024-01-31 07:52:00,16,1
1,T,2024-01-31 08:39:00,17,1
1,G,2024-01-31 08:52:00,18,1
1,L,2024-01-31 09:01:00,19,1
1,P,2024-01-31 09:30:00,20,1
1,N,2024-01-31 09:53:00,21,1
1,B,2024-01-31 10:32:00,22,1
1,end,2024-01-31 10:42:00,23,1
201,start,2024-01-31 00:14:00,1,1
201,B,2024-01-31 01:08:00,2,1
201,U,2024-01-31 01:52:00,3,1
201,B,2024-01-31 02:30:00,4,1
201,S,2024-01-31 02:39:00,5,1
201,H,2024-01-31 02:58:00,6,1
201,S,2024-01-31 03:55:00,7,1
201,S,2024-01-31 04:01:00,8,1
201,S,2024-01-31 04:23:00,9,1
201,A,2024-01-31 05:18:00,10,1
201,M,2024-01-31 05:53:00,11,1
201,U,2024-01-31 06:26:00,12,1
201,E,2024-01-31 06:43:00,13,1
201,N,2024-01-31 06:55:00,14,1
201,D,2024-01-31 07:02:00,15,1
201,N,2024-01-31 07:52:00,16,1
201,T,2024-01-31 08:39:00,17,1
201,G,2024-01-31 08:52:00,18,1
201,L,2024-01-31 09:01:00,19,1
201,P,2024-01-31 09:30:00,20,1
201,N,2024-01-31 09:53:00,21,1
201,B,2024-01-31 10:32:00,22,1
201,end,2024-01-31 10:42:00,23,1
401,start,2024-01-31 00:14:00,1,1
401,B,2024-01-31 01:08:00,2,1
401,U,2024-01-31 01:52:00,3,1
401,B,2024-01-31 02:30:00,4,1
401,S,2024-01-31 02:39:00,5,1
401,H,2024-01-31 02:58:00,6,1
401,S,2024-01-31 03:55:00,7,1
401,S,2024-01-31 04:01:00,8,1
401,S,2024-01-31 04:23:00,9,1
401,A,2024-01-31 05:18:00,10,1
401,M,2024-01-31 05:53:00,11,1
401,U,2024-01-31 06:26:00,12,1
401,E,2024-01-31 06:43:00,13,1
401,N,2024-01-31 06:55:00,14,1
401,D,2024-01-31 07:02:00,15,1
401,N,2024-01-31 07:52:00,16,1
401,T,2024-01-31 08:39:00,17,1
401,G,2024-01-31 08:52:00,18,1
401,L,2024-01-31 09:01:00,19,1
401,P,2024-01-31 09:30:00,20,1
401,N,2024-01-31 09:53:00,21,1
401,B,2024-01-31 10:32:00,22,1
401,end,2024-01-31 10:42:00,23,1
2,start,2024-01-31 00:14:00,1,0
2,L,2024-01-31 01:13:00,2,0
2,T,2024-01-31 01:23:00,3,0
2,M,2024-01-31 01:58:00,4,0
2,T,2024-01-31 02:16:00,5,0
2,N,2024-01-31 02:45:00,6,0
2,D,2024-01-31 03:32:00,7,0
2,J,2024-01-31 03:56:00,8,0
2,B,2024-01-31 04:43:00,9,0
2,Q,2024-01-31 05:41:00,10,0
2,Q,2024-01-31 06:21:00,11,0
2,G,2024-01-31 07:19:00,12,0
2,J,2024-01-31 07:39:00,13,0
2,G,2024-01-31 08:15:00,14,0
2,C,2024-01-31 08:26:00,15,0
2,Q,2024-01-31 08:50:00,16,0
2,F,2024-01-31 09:37:00,17,0
2,Q,2024-01-31 10:34:00,18,0
2,H,2024-01-31 11:27:00,19,0
2,S,2024-01-31 11:46:00,20,0
2,J,2024-01-31 12:35:00,21,0
2,Q,2024-01-31 13:18:00,22,0
2,A,2024-01-31 13:22:00,23,0
2,end,2024-01-31 13:45:00,24,0
202,start,2024-01-31 00:14:00,1,0
202,L,2024-01-31 01:13:00,2,0
202,T,2024-01-31 01:23:00,3,0
202,M,2024-01-31 01:58:00,4,0
202,T,2024-01-31 02:16:00,5,0
202,N,2024-01-31 02:45:00,6,0
202,D,2024-01-31 03:32:00,7,0
202,J,2024-01-31 03:56:00,8,0
202,B,2024-01-31 04:43:00,9,0
202,Q,2024-01-31 05:41:00,10,0
202,Q,2024-01-31 06:21:00,11,0
202,G,2024-01-31 07:19:00,12,0
202,J,2024-01-31 07:39:00,13,0
202,G,2024-01-31 08:15:00,14,0
202,C,2024-01-31 08:26:00,15,0
202,Q,2024-01-31 08:50:00,16,0
202,F,2024-01-31 09:37:00,17,0
202,Q,2024-01-31 10:34:00,18,0
202,H,2024-01-31 11:27:00,19,0
202,S,2024-01-31 11:46:00,20,0
202,J,2024-01-31 12:35:00,21,0
202,Q,2024-01-31 13:18:00,22,0
202,A,2024-01-31 13:22:00,23,0
202,end,2024-01-31 13:45:00,24,0
402,start,2024-01-31 00:14:00,1,0
402,L,2024-01-31 01:13:00,2,0
402,T,2024-01-31 01:23:00,3,0
402,M,2024-01-31 01:58:00,4,0
402,T,2024-01-31 02:16:00,5,0
402,N,2024-01-31 02:45:00,6,0
