dataset_name;activity_name;feature_col;target_col;std;correlation_type;correlation_value;file_name
synthetic_log_001;A;activity_first_s;case:label;1.67;Spearman;0.1561;synthetic_log_001_P-10_S-1_A-A_R_307-307_join_pos_enc.csv
synthetic_log_001;A;activity_last_s;case:label;1.67;Spearman;0.1561;synthetic_log_001_P-10_S-1_A-A_R_307-307_join_pos_enc.csv
synthetic_log_001;A;activity_repetition_s;case:label;0.209;Spearman;0.1561;synthetic_log_001_P-10_S-1_A-A_R_307-307_join_pos_enc.csv
synthetic_log_001;A;activity_first_o;case:label;1.049;Spearman;0.0;synthetic_log_001_P-10_S-1_A-A_R_307-307_join_pos_enc.csv
synthetic_log_001;A;activity_last_o;case:label;1.049;Spearman;0.0;synthetic_log_001_P-10_S-1_A-A_R_307-307_join_pos_enc.csv
synthetic_log_001;A;activity_first_s;case:label;1.5;Spearman;-0.9532;synthetic_log_001_P-5_S-1_A-A_R_292-292_join_pos_enc.csv
synthetic_log_001;A;activity_last_s;case:label;1.5;Spearman;-0.9532;synthetic_log_001_P-5_S-1_A-A_R_292-292_join_pos_enc.csv
synthetic_log_001;A;activity_repetition_s;case:label;0.5;Spearman;-0.9532;synthetic_log_001_P-5_S-1_A-A_R_292-292_join_pos_enc.csv
synthetic_log_001;A;activity_repetition_o;case:label;0.0;Pearson;;synthetic_log_001_P-10_S-1_A-A_R_307-307_join_pos_enc.csv
synthetic_log_001;A;activity_first_o;case:label;0.0;Pearson;;synthetic_log_001_P-5_S-1_A-A_R_292-292_join_pos_enc.csv
synthetic_log_001;A;activity_last_o;case:label;0.0;Pearson;;synthetic_log_001_P-5_S-1_A-A_R_292-292_join_pos_enc.csv
synthetic_log_001;A;activity_repetition_o;case:label;0.0;Pearson;;synthetic_log_001_P-5_S-1_A-A_R_292-292_join_pos_enc.csv
synthetic_log_001;B;activity_first_s;case:label;2.349;Spearman;0.4756;synthetic_log_001_P-10_S-2_A-B_R_200-200_join_pos_enc.csv
synthetic_log_001;B;activity_last_s;case:label;3.227;Spearman;0.1594;synthetic_log_001_P-10_S-2_A-B_R_200-200_join_pos_enc.csv
synthetic_log_001;B;activity_first_o;case:label;2.582;Spearman;0.0;synthetic_log_001_P-10_S-2_A-B_R_200-200_join_pos_enc.csv
synthetic_log_001;B;activity_last_o;case:label;2.13;Spearman;0.0;synthetic_log_001_P-10_S-2_A-B_R_200-200_join_pos_enc.csv
synthetic_log_001;B;activity_repetition_o;case:label;0.532;Spearman;0.0;synthetic_log_001_P-10_S-2_A-B_R_200-200_join_pos_enc.csv
synthetic_log_001;B;activity_first_o;case:label;1.271;Spearman;0.0;synthetic_log_001_P-5_S-2_A-B_R_79-79_join_pos_enc.csv
synthetic_log_001;B;activity_last_o;case:label;1.271;Spearman;0.0;synthetic_log_001_P-5_S-2_A-B_R_79-79_join_pos_enc.csv
synthetic_log_001;B;activity_repetition_s;case:label;0.818;Spearman;-0.0113;synthetic_log_001_P-10_S-2_A-B_R_200-200_join_pos_enc.csv
synthetic_log_001;B;activity_repetition_s;case:label;0.311;Spearman;-0.0613;synthetic_log_001_P-5_S-2_A-B_R_79-79_join_pos_enc.csv
synthetic_log_001;B;activity_first_s;case:label;1.495;Spearman;-0.4443;synthetic_log_001_P-5_S-2_A-B_R_79-79_join_pos_enc.csv
synthetic_log_001;B;activity_last_s;case:label;1.495;Spearman;-0.4443;synthetic_log_001_P-5_S-2_A-B_R_79-79_join_pos_enc.csv
synthetic_log_001;B;activity_repetition_o;case:label;0.0;Pearson;;synthetic_log_001_P-5_S-2_A-B_R_79-79_join_pos_enc.csv
synthetic_log_001;C;activity_first_s;case:label;0.717;Spearman;0.185;synthetic_log_001_P-5_S-3_A-C_R_136-136_join_pos_enc.csv
synthetic_log_001;C;activity_last_s;case:label;0.717;Spearman;0.185;synthetic_log_001_P-5_S-3_A-C_R_136-136_join_pos_enc.csv
synthetic_log_001;C;activity_repetition_s;case:label;0.179;Spearman;0.185;synthetic_log_001_P-5_S-3_A-C_R_136-136_join_pos_enc.csv
synthetic_log_001;C;activity_repetition_s;case:label;0.494;Spearman;0.1738;synthetic_log_001_P-10_S-3_A-C_R_239-239_join_pos_enc.csv
synthetic_log_001;C;activity_first_s;case:label;3.687;Spearman;0.0579;synthetic_log_001_P-10_S-3_A-C_R_239-239_join_pos_enc.csv
synthetic_log_001;C;activity_last_s;case:label;3.687;Spearman;0.0579;synthetic_log_001_P-10_S-3_A-C_R_239-239_join_pos_enc.csv
synthetic_log_001;C;activity_first_o;case:label;2.194;Spearman;0.0;synthetic_log_001_P-10_S-3_A-C_R_239-239_join_pos_enc.csv
synthetic_log_001;C;activity_last_o;case:label;2.394;Spearman;0.0;synthetic_log_001_P-10_S-3_A-C_R_239-239_join_pos_enc.csv
synthetic_log_001;C;activity_repetition_o;case:label;0.434;Spearman;0.0;synthetic_log_001_P-10_S-3_A-C_R_239-239_join_pos_enc.csv
synthetic_log_001;C;activity_first_o;case:label;1.176;Spearman;0.0;synthetic_log_001_P-5_S-3_A-C_R_136-136_join_pos_enc.csv
synthetic_log_001;C;activity_last_o;case:label;1.168;Spearman;0.0;synthetic_log_001_P-5_S-3_A-C_R_136-136_join_pos_enc.csv
synthetic_log_001;C;activity_repetition_o;case:label;0.121;Spearman;0.0;synthetic_log_001_P-5_S-3_A-C_R_136-136_join_pos_enc.csv
synthetic_log_001;D;activity_first_o;case:label;2.964;Spearman;0.0;synthetic_log_001_P-10_S-4_A-D_R_195-195_join_pos_enc.csv
synthetic_log_001;D;activity_last_o;case:label;2.99;Spearman;0.0;synthetic_log_001_P-10_S-4_A-D_R_195-195_join_pos_enc.csv
synthetic_log_001;D;activity_repetition_o;case:label;0.397;Spearman;0.0;synthetic_log_001_P-10_S-4_A-D_R_195-195_join_pos_enc.csv
synthetic_log_001;D;activity_first_o;case:label;1.052;Spearman;0.0;synthetic_log_001_P-5_S-4_A-D_R_79-79_join_pos_enc.csv
synthetic_log_001;D;activity_last_o;case:label;1.034;Spearman;0.0;synthetic_log_001_P-5_S-4_A-D_R_79-79_join_pos_enc.csv
synthetic_log_001;D;activity_repetition_o;case:label;0.292;Spearman;0.0;synthetic_log_001_P-5_S-4_A-D_R_79-79_join_pos_enc.csv
synthetic_log_001;D;activity_repetition_s;case:label;0.422;Spearman;-0.0609;synthetic_log_001_P-10_S-4_A-D_R_195-195_join_pos_enc.csv
synthetic_log_001;D;activity_first_s;case:label;2.744;Spearman;-0.0708;synthetic_log_001_P-10_S-4_A-D_R_195-195_join_pos_enc.csv
synthetic_log_001;D;activity_last_s;case:label;2.744;Spearman;-0.0708;synthetic_log_001_P-10_S-4_A-D_R_195-195_join_pos_enc.csv
synthetic_log_001;D;activity_repetition_s;case:label;0.616;Spearman;-0.2652;synthetic_log_001_P-5_S-4_A-D_R_79-79_join_pos_enc.csv
synthetic_log_001;D;activity_first_s;case:label;2.124;Spearman;-0.2754;synthetic_log_001_P-5_S-4_A-D_R_79-79_join_pos_enc.csv
synthetic_log_001;D;activity_last_s;case:label;2.272;Spearman;-0.3467;synthetic_log_001_P-5_S-4_A-D_R_79-79_join_pos_enc.csv
synthetic_log_001;E;activity_first_o;case:label;2.417;Spearman;0.0;synthetic_log_001_P-10_S-5_A-E_R_227-227_join_pos_enc.csv
synthetic_log_001;E;activity_last_o;case:label;2.506;Spearman;0.0;synthetic_log_001_P-10_S-5_A-E_R_227-227_join_pos_enc.csv
synthetic_log_001;E;activity_repetition_o;case:label;0.256;Spearman;0.0;synthetic_log_001_P-10_S-5_A-E_R_227-227_join_pos_enc.csv
synthetic_log_001;E;activity_first_o;case:label;1.01;Spearman;0.0;synthetic_log_001_P-5_S-5_A-E_R_105-105_join_pos_enc.csv
synthetic_log_001;E;activity_last_o;case:label;1.01;Spearman;0.0;synthetic_log_001_P-5_S-5_A-E_R_105-105_join_pos_enc.csv
synthetic_log_001;E;activity_last_s;case:label;3.272;Spearman;-0.0213;synthetic_log_001_P-10_S-5_A-E_R_227-227_join_pos_enc.csv
synthetic_log_001;E;activity_first_s;case:label;2.962;Spearman;-0.0717;synthetic_log_001_P-10_S-5_A-E_R_227-227_join_pos_enc.csv
synthetic_log_001;E;activity_repetition_s;case:label;0.76;Spearman;-0.0998;synthetic_log_001_P-10_S-5_A-E_R_227-227_join_pos_enc.csv
synthetic_log_001;E;activity_first_s;case:label;0.902;Spearman;-0.3333;synthetic_log_001_P-5_S-5_A-E_R_105-105_join_pos_enc.csv
synthetic_log_001;E;activity_last_s;case:label;0.902;Spearman;-0.3333;synthetic_log_001_P-5_S-5_A-E_R_105-105_join_pos_enc.csv
synthetic_log_001;E;activity_repetition_s;case:label;0.301;Spearman;-0.3333;synthetic_log_001_P-5_S-5_A-E_R_105-105_join_pos_enc.csv
synthetic_log_001;E;activity_repetition_o;case:label;0.0;Pearson;;synthetic_log_001_P-5_S-5_A-E_R_105-105_join_pos_enc.csv
synthetic_log_001;F;activity_repetition_s;case:label;0.684;Spearman;0.1894;synthetic_log_001_P-5_S-6_A-F_R_100-100_join_pos_enc.csv
synthetic_log_001;F;activity_last_s;case:label;3.022;Spearman;0.0905;synthetic_log_001_P-10_S-6_A-F_R_219-219_join_pos_enc.csv
synthetic_log_001;F;activity_first_s;case:label;2.741;Spearman;0.0739;synthetic_log_001_P-10_S-6_A-F_R_219-219_join_pos_enc.csv
synthetic_log_001;F;activity_repetition_s;case:label;0.64;Spearman;0.0675;synthetic_log_001_P-10_S-6_A-F_R_219-219_join_pos_enc.csv
synthetic_log_001;F;activity_last_s;case:label;1.919;Spearman;0.024;synthetic_log_001_P-5_S-6_A-F_R_100-100_join_pos_enc.csv
synthetic_log_001;F;activity_first_o;case:label;2.787;Spearman;0.0;synthetic_log_001_P-10_S-6_A-F_R_219-219_join_pos_enc.csv
synthetic_log_001;F;activity_last_o;case:label;2.532;Spearman;0.0;synthetic_log_001_P-10_S-6_A-F_R_219-219_join_pos_enc.csv
synthetic_log_001;F;activity_repetition_o;case:label;0.423;Spearman;0.0;synthetic_log_001_P-10_S-6_A-F_R_219-219_join_pos_enc.csv
synthetic_log_001;F;activity_first_o;case:label;1.069;Spearman;0.0;synthetic_log_001_P-5_S-6_A-F_R_100-100_join_pos_enc.csv
synthetic_log_001;F;activity_last_o;case:label;1.284;Spearman;0.0;synthetic_log_001_P-5_S-6_A-F_R_100-100_join_pos_enc.csv
synthetic_log_001;F;activity_repetition_o;case:label;0.368;Spearman;0.0;synthetic_log_001_P-5_S-6_A-F_R_100-100_join_pos_enc.csv
synthetic_log_001;F;activity_first_s;case:label;1.446;Spearman;-0.0642;synthetic_log_001_P-5_S-6_A-F_R_100-100_join_pos_enc.csv
synthetic_log_001;G;activity_first_s;case:label;1.293;Spearman;0.2774;synthetic_log_001_P-5_S-7_A-G_R_63-63_join_pos_enc.csv
synthetic_log_001;G;activity_last_s;case:label;1.293;Spearman;0.2774;synthetic_log_001_P-5_S-7_A-G_R_63-63_join_pos_enc.csv
synthetic_log_001;G;activity_repetition_s;case:label;0.259;Spearman;0.2774;synthetic_log_001_P-5_S-7_A-G_R_63-63_join_pos_enc.csv
synthetic_log_001;G;activity_first_o;case:label;2.51;Spearman;0.0;synthetic_log_001_P-10_S-7_A-G_R_147-147_join_pos_enc.csv
synthetic_log_001;G;activity_last_o;case:label;2.55;Spearman;0.0;synthetic_log_001_P-10_S-7_A-G_R_147-147_join_pos_enc.csv
synthetic_log_001;G;activity_repetition_o;case:label;0.508;Spearman;0.0;synthetic_log_001_P-10_S-7_A-G_R_147-147_join_pos_enc.csv
synthetic_log_001;G;activity_first_o;case:label;1.254;Spearman;0.0;synthetic_log_001_P-5_S-7_A-G_R_63-63_join_pos_enc.csv
synthetic_log_001;G;activity_last_o;case:label;1.254;Spearman;0.0;synthetic_log_001_P-5_S-7_A-G_R_63-63_join_pos_enc.csv
synthetic_log_001;G;activity_first_s;case:label;3.847;Spearman;-0.1982;synthetic_log_001_P-10_S-7_A-G_R_147-147_join_pos_enc.csv
synthetic_log_001;G;activity_last_s;case:label;3.847;Spearman;-0.1982;synthetic_log_001_P-10_S-7_A-G_R_147-147_join_pos_enc.csv
synthetic_log_001;G;activity_repetition_s;case:label;0.456;Spearman;-0.2542;synthetic_log_001_P-10_S-7_A-G_R_147-147_join_pos_enc.csv
synthetic_log_001;G;activity_repetition_o;case:label;0.0;Pearson;;synthetic_log_001_P-5_S-7_A-G_R_63-63_join_pos_enc.csv
synthetic_log_001;H;activity_first_o;case:label;2.622;Spearman;0.0;synthetic_log_001_P-10_S-8_A-H_R_196-196_join_pos_enc.csv
synthetic_log_001;H;activity_last_o;case:label;2.523;Spearman;0.0;synthetic_log_001_P-10_S-8_A-H_R_196-196_join_pos_enc.csv
synthetic_log_001;H;activity_repetition_o;case:label;0.383;Spearman;0.0;synthetic_log_001_P-10_S-8_A-H_R_196-196_join_pos_enc.csv
synthetic_log_001;H;activity_first_o;case:label;1.295;Spearman;0.0;synthetic_log_001_P-5_S-8_A-H_R_107-107_join_pos_enc.csv
synthetic_log_001;H;activity_last_o;case:label;1.244;Spearman;0.0;synthetic_log_001_P-5_S-8_A-H_R_107-107_join_pos_enc.csv
synthetic_log_001;H;activity_repetition_o;case:label;0.304;Spearman;0.0;synthetic_log_001_P-5_S-8_A-H_R_107-107_join_pos_enc.csv
synthetic_log_001;H;activity_first_s;case:label;3.656;Spearman;-0.1694;synthetic_log_001_P-10_S-8_A-H_R_196-196_join_pos_enc.csv
